OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
453,189904,1899.04,1717859.99707031,5282.07905679028
454,189905,1899.05,2780937.6640625,6976.50622786965
455,189906,1899.06,2182591.84960938,5943.37463386567
456,189907,1899.07,1746429.87402344,5286.48505853323
457,190101,1901.01,2415023.44726562,6832.13017689012
458,190102,1901.02,4049647.99414062,8766.92723050288
459,190201,1902.01,2441732.82226562,6951.86166664776
460,190202,1902.02,2275158.77050781,6643.15470367504
461,190302,1903.02,2581477.37304688,9434.62482771577
462,190303,1903.03,1760119.24804688,5299.29128149131
463,190401,1904.01,1796752.67578125,5352.448943439
464,190402,1904.02,1691439.60546875,5221.39163021909
465,190510,1905.10,3427014.7734375,7981.11783118573
466,190520,1905.20,2625881.61425781,6612.05771196989
467,190701,1907.01,4762957.71875,9891.61421202992
468,190702,1907.02,2152792.97558594,5909.32843017028
469,190801,1908.01,3489474.25390625,7925.32966220571
470,190802,1908.02,5239268.64746094,9249.70040599808
471,190901,1909.01,5276300.59277344,9290.82274904745
472,190902,1909.02,5241761.85253906,9257.05688477667
473,191000,1910.00,6982346.08789062,11184.1566866414
474,191110,1911.10,2935770.34960938,7507.32333466277
475,191120,1911.20,4086485.78417969,8373.03215429788
476,191201,1912.01,6159853.67089844,9951.82100823238
477,191203,1912.03,2208777.33496094,5985.14698302085
478,191204,1912.04,2164407.54296875,5918.99761391808
479,191301,1913.01,2944230.53222656,8542.86419282967
480,191302,1913.02,4547375.21386719,9355.99882223093
481,191410,1914.10,3351636.21386719,7438.63777728712
482,191420,1914.20,2445268.56542969,6614.97353310244
483,191500,1915.00,6903622.40234375,10328.4442932073
484,191610,1916.10,4498406.6796875,9410.99859297722
485,191620,1916.20,2463246.37695312,7019.86987592721
486,191710,1917.10,7627441.77148438,13209.0297784507
487,191720,1917.20,2845123.18359375,6946.31644524517
488,191810,1918.10,4351163.39160156,9234.50026367202
489,191820,1918.20,4356427.20898438,9240.10092947083
490,191901,1919.01,8322072.65917969,11883.4394395831
491,191902,1919.02,7817628.45117188,11569.8120312783
492,192001,1920.01,5713104.82910156,11592.717776373
493,192002,1920.02,9238710.08007812,12815.3562768161
494,192300,1923.00,9466568.27929688,12502.5058841204
495,192410,1924.10,7361268.921875,10853.9414345495
496,192420,1924.20,3497148.74707031,7935.45454484834
497,192510,1925.10,3667687.06152344,8117.77867414768
498,192520,1925.20,3313098.5,7806.68124676351
499,192610,1926.10,4471291.14355469,9148.65687396613
500,192620,1926.20,2621589.80859375,7268.93645380648
501,192700,1927.00,5717757.34472656,9614.05432194863
502,194101,1941.01,27368995.7080078,33899.9523158656
503,194102,1941.02,37710234.8769531,38288.1554985387
504,194200,1942.00,28019872.2148438,29548.083770113
505,194300,1943.00,26597779.0654297,35303.6369727197
506,194401,1944.01,5013242.0078125,9747.51861095723
507,194402,1944.02,6341559.93847656,14496.2936289992
508,194500,1945.00,7376766.36230469,14978.227816105
509,195100,1951.00,20400873.4345703,21728.6769876498
510,195201,1952.01,6466990.20800781,13793.8573232493
511,195202,1952.02,9450220.00195312,14520.0943252432
512,195300,1953.00,6246653.32128906,11071.7029681309
513,195400,1954.00,11090253.8085938,17054.0232357063
514,195500,1955.00,13080072.1933594,19969.4341670291
515,195600,1956.00,5678700.8046875,11167.7870601996
516,195710,1957.10,5203272.56445312,9761.8388700191
517,195720,1957.20,3110500.27929688,8346.48538621346
518,195802,1958.02,4332629.91113281,9935.90886501007
519,195803,1958.03,4062125.00097656,9006.74440959736
520,195804,1958.04,3615043.81640625,7708.36000700584
521,195901,1959.01,3130914.42675781,8190.01586346303
522,195902,1959.02,3742492.61132812,8216.51584901215
523,195903,1959.03,2562591.99511719,6738.80617374976
524,197200,1972.00,8364430.11914062,14833.1417709268
525,197300,1973.00,7042090.86816406,15215.6543152209
526,197410,1974.10,14997000.8105469,18531.5884857962
527,197420,1974.20,6625853.29394531,11620.1402373777
528,197500,1975.00,6893860.4375,10416.1302872351
529,197600,1976.00,4179592.18554688,10403.4949577743
530,197700,1977.00,7553643.11230469,13927.2622972709
531,199001,1990.01,2689325.92382812,8021.36629966805
532,199002,1990.02,14479074.4003906,20810.1910236607
533,199110,1991.10,9708508.63867188,14255.8076234246
534,199120,1991.20,10353364.7763672,16463.9917915215
535,199201,1992.01,4253708.5859375,8935.66056431229
536,199202,1992.02,10273091.9970703,18301.5761232204
